X,CH1,
Second,Volt,
-1.88400e-04,-8.00e-01,
-1.88300e-04,-6.00e-01,
-1.88200e-04,-8.00e-01,
-1.88100e-04,-2.00e-01,
-1.88000e-04,-6.00e-01,
-1.87900e-04,-8.00e-01,
-1.87800e-04,-8.00e-01,
-1.87700e-04,-2.00e-01,
-1.87600e-04,-8.00e-01,
-1.87500e-04,-6.00e-01,
-1.87400e-04,-8.00e-01,
-1.87300e-04,-2.00e-01,
-1.87200e-04,-2.00e-01,
-1.87100e-04,-8.00e-01,
-1.87000e-04,-8.00e-01,
-1.86900e-04,-2.00e-01,
-1.86800e-04,-8.00e-01,
-1.86700e-04,-2.00e-01,
-1.86600e-04,-8.00e-01,
-1.86500e-04,-2.00e-01,
-1.86400e-04,-6.00e-01,
-1.86300e-04,8.20e+00,
-1.86200e-04,8.20e+00,
-1.86100e-04,8.80e+00,
-1.86000e-04,8.60e+00,
-1.85900e-04,8.80e+00,
-1.85800e-04,8.80e+00,
-1.85700e-04,8.60e+00,
-1.85600e-04,8.60e+00,
-1.85500e-04,8.80e+00,
-1.85400e-04,8.80e+00,
-1.85300e-04,8.60e+00,
-1.85200e-04,8.60e+00,
-1.85100e-04,8.60e+00,
-1.85000e-04,8.60e+00,
-1.84900e-04,8.40e+00,
-1.84800e-04,8.60e+00,
-1.84700e-04,8.60e+00,
-1.84600e-04,8.60e+00,
-1.84500e-04,8.40e+00,
-1.84400e-04,8.60e+00,
-1.84300e-04,8.40e+00,
-1.84200e-04,8.60e+00,
-1.84100e-04,8.40e+00,
-1.84000e-04,8.40e+00,
-1.83900e-04,8.60e+00,
-1.83800e-04,8.40e+00,
-1.83700e-04,8.60e+00,
-1.83600e-04,8.60e+00,
-1.83500e-04,8.40e+00,
-1.83400e-04,8.60e+00,
-1.83300e-04,8.40e+00,
-1.83200e-04,8.60e+00,
-1.83100e-04,8.40e+00,
-1.83000e-04,8.60e+00,
-1.82900e-04,8.40e+00,
-1.82800e-04,8.40e+00,
-1.82700e-04,8.60e+00,
-1.82600e-04,8.40e+00,
-1.82500e-04,8.60e+00,
-1.82400e-04,8.60e+00,
-1.82300e-04,8.40e+00,
-1.82200e-04,8.40e+00,
-1.82100e-04,8.80e+00,
-1.82000e-04,8.60e+00,
-1.81900e-04,8.40e+00,
-1.81800e-04,8.40e+00,
-1.81700e-04,8.60e+00,
-1.81600e-04,8.60e+00,
-1.81500e-04,8.40e+00,
-1.81400e-04,8.60e+00,
-1.81300e-04,8.40e+00,
-1.81200e-04,8.60e+00,
-1.81100e-04,8.40e+00,
-1.81000e-04,8.60e+00,
-1.80900e-04,8.40e+00,
-1.80800e-04,8.40e+00,
-1.80700e-04,8.60e+00,
-1.80600e-04,8.60e+00,
-1.80500e-04,8.60e+00,
-1.80400e-04,8.60e+00,
-1.80300e-04,8.40e+00,
-1.80200e-04,8.60e+00,
-1.80100e-04,8.40e+00,
-1.80000e-04,8.60e+00,
-1.79900e-04,8.60e+00,
-1.79800e-04,7.40e+00,
-1.79700e-04,0.00e+00,
-1.79600e-04,-2.00e-01,
-1.79500e-04,-8.00e-01,
-1.79400e-04,-1.00e+00,
-1.79300e-04,-6.00e-01,
-1.79200e-04,-8.00e-01,
-1.79100e-04,-1.00e+00,
-1.79000e-04,-8.00e-01,
-1.78900e-04,-8.00e-01,
-1.78800e-04,-8.00e-01,
-1.78700e-04,-8.00e-01,
-1.78600e-04,-8.00e-01,
-1.78500e-04,-6.00e-01,
-1.78400e-04,-8.00e-01,
-1.78300e-04,-6.00e-01,
-1.78200e-04,-8.00e-01,
-1.78100e-04,-6.00e-01,
-1.78000e-04,-6.00e-01,
-1.77900e-04,-8.00e-01,
-1.77800e-04,-2.00e-01,
-1.77700e-04,-8.00e-01,
-1.77600e-04,-8.00e-01,
-1.77500e-04,-2.00e-01,
-1.77400e-04,-8.00e-01,
-1.77300e-04,-2.00e-01,
-1.77200e-04,-2.00e-01,
-1.77100e-04,-8.00e-01,
-1.77000e-04,-2.00e-01,
-1.76900e-04,-8.00e-01,
-1.76800e-04,-8.00e-01,
-1.76700e-04,-2.00e-01,
-1.76600e-04,-8.00e-01,
-1.76500e-04,-2.00e-01,
-1.76400e-04,-8.00e-01,
-1.76300e-04,-2.00e-01,
-1.76200e-04,-8.00e-01,
-1.76100e-04,-2.00e-01,
-1.76000e-04,-8.00e-01,
-1.75900e-04,-2.00e-01,
-1.75800e-04,-8.00e-01,
-1.75700e-04,-2.00e-01,
-1.75600e-04,-2.00e-01,
-1.75500e-04,-8.00e-01,
-1.75400e-04,-8.00e-01,
-1.75300e-04,-2.00e-01,
-1.75200e-04,-2.00e-01,
-1.75100e-04,-8.00e-01,
-1.75000e-04,-2.00e-01,
-1.74900e-04,-8.00e-01,
-1.74800e-04,-8.00e-01,
-1.74700e-04,-2.00e-01,
-1.74600e-04,-8.00e-01,
-1.74500e-04,-2.00e-01,
-1.74400e-04,-2.00e-01,
-1.74300e-04,-8.00e-01,
-1.74200e-04,-8.00e-01,
-1.74100e-04,-2.00e-01,
-1.74000e-04,-6.00e-01,
-1.73900e-04,-8.00e-01,
-1.73800e-04,-2.00e-01,
-1.73700e-04,-8.00e-01,
-1.73600e-04,-2.00e-01,
-1.73500e-04,-8.00e-01,
-1.73400e-04,-8.00e-01,
-1.73300e-04,-6.00e-01,
-1.73200e-04,-8.00e-01,
-1.73100e-04,3.20e+00,
-1.73000e-04,4.60e+00,
-1.72900e-04,8.60e+00,
-1.72800e-04,8.40e+00,
-1.72700e-04,8.80e+00,
-1.72600e-04,8.60e+00,
-1.72500e-04,8.80e+00,
-1.72400e-04,8.80e+00,
-1.72300e-04,8.60e+00,
-1.72200e-04,8.60e+00,
-1.72100e-04,8.60e+00,
-1.72000e-04,8.60e+00,
-1.71900e-04,8.80e+00,
-1.71800e-04,8.60e+00,
-1.71700e-04,8.80e+00,
-1.71600e-04,8.60e+00,
-1.71500e-04,8.60e+00,
-1.71400e-04,8.60e+00,
-1.71300e-04,8.40e+00,
-1.71200e-04,8.60e+00,
-1.71100e-04,8.60e+00,
-1.71000e-04,8.60e+00,
-1.70900e-04,8.60e+00,
-1.70800e-04,8.60e+00,
-1.70700e-04,8.40e+00,
-1.70600e-04,8.60e+00,
-1.70500e-04,8.40e+00,
-1.70400e-04,8.40e+00,
-1.70300e-04,8.60e+00,
-1.70200e-04,8.40e+00,
-1.70100e-04,8.60e+00,
-1.70000e-04,8.60e+00,
-1.69900e-04,8.40e+00,
-1.69800e-04,8.60e+00,
-1.69700e-04,8.40e+00,
-1.69600e-04,8.60e+00,
-1.69500e-04,8.60e+00,
-1.69400e-04,8.60e+00,
-1.69300e-04,8.40e+00,
-1.69200e-04,8.60e+00,
-1.69100e-04,8.20e+00,
-1.69000e-04,8.60e+00,
-1.68900e-04,8.40e+00,
-1.68800e-04,8.60e+00,
-1.68700e-04,8.40e+00,
-1.68600e-04,8.40e+00,
-1.68500e-04,8.60e+00,
-1.68400e-04,8.60e+00,
-1.68300e-04,8.40e+00,
-1.68200e-04,8.60e+00,
-1.68100e-04,8.40e+00,
-1.68000e-04,8.40e+00,
-1.67900e-04,8.60e+00,
-1.67800e-04,8.40e+00,
-1.67700e-04,8.60e+00,
-1.67600e-04,8.60e+00,
-1.67500e-04,8.40e+00,
-1.67400e-04,8.60e+00,
-1.67300e-04,8.40e+00,
-1.67200e-04,8.60e+00,
-1.67100e-04,8.40e+00,
