X,CH1,CH2,
Second,Volt,Volt,
9.70000e-04,5.60e-01,0.00e+00,
9.70100e-04,7.00e-01,0.00e+00,
9.70200e-04,7.00e-01,0.00e+00,
9.70300e-04,8.60e-01,0.00e+00,
9.70400e-04,8.60e-01,0.00e+00,
9.70500e-04,1.00e+00,0.00e+00,
9.70600e-04,1.02e+00,0.00e+00,
9.70700e-04,1.14e+00,0.00e+00,
9.70800e-04,1.12e+00,0.00e+00,
9.70900e-04,1.22e+00,0.00e+00,
9.71000e-04,1.22e+00,0.00e+00,
9.71100e-04,1.34e+00,0.00e+00,
9.71200e-04,1.34e+00,0.00e+00,
9.71300e-04,1.40e+00,2.00e-02,
9.71400e-04,1.42e+00,0.00e+00,
9.71500e-04,1.46e+00,0.00e+00,
9.71600e-04,1.48e+00,0.00e+00,
9.71700e-04,1.52e+00,2.00e-02,
9.71800e-04,1.52e+00,2.00e-02,
9.71900e-04,1.56e+00,0.00e+00,
9.72000e-04,1.54e+00,0.00e+00,
9.72100e-04,1.56e+00,2.00e-02,
9.72200e-04,1.56e+00,2.00e-02,
9.72300e-04,1.54e+00,2.00e-02,
9.72400e-04,1.54e+00,2.00e-02,
9.72500e-04,1.52e+00,4.00e-02,
9.72600e-04,1.52e+00,2.00e-02,
9.72700e-04,1.46e+00,4.00e-02,
9.72800e-04,1.46e+00,2.00e-02,
9.72900e-04,1.40e+00,4.00e-02,
9.73000e-04,1.40e+00,4.00e-02,
9.73100e-04,1.32e+00,2.00e-02,
9.73200e-04,1.30e+00,4.00e-02,
9.73300e-04,1.22e+00,4.00e-02,
9.73400e-04,1.20e+00,4.00e-02,
9.73500e-04,1.08e+00,4.00e-02,
9.73600e-04,1.08e+00,4.00e-02,
9.73700e-04,9.60e-01,2.00e-02,
9.73800e-04,9.60e-01,4.00e-02,
9.73900e-04,8.20e-01,4.00e-02,
9.74000e-04,8.20e-01,4.00e-02,
9.74100e-04,6.40e-01,4.00e-02,
9.74200e-04,6.40e-01,4.00e-02,
9.74300e-04,4.80e-01,6.00e-02,
9.74400e-04,4.80e-01,6.00e-02,
9.74500e-04,3.20e-01,4.00e-02,
9.74600e-04,3.00e-01,6.00e-02,
9.74700e-04,1.40e-01,4.00e-02,
9.74800e-04,1.00e-01,4.00e-02,
9.74900e-04,-6.00e-02,6.00e-02,
9.75000e-04,-7.99e-02,4.00e-02,
9.75100e-04,-2.40e-01,6.00e-02,
9.75200e-04,-2.60e-01,4.00e-02,
9.75300e-04,-4.20e-01,4.00e-02,
9.75400e-04,-4.20e-01,4.00e-02,
9.75500e-04,-5.80e-01,4.00e-02,
9.75600e-04,-6.00e-01,4.00e-02,
9.75700e-04,-7.40e-01,4.00e-02,
9.75800e-04,-7.60e-01,4.00e-02,
9.75900e-04,-9.00e-01,4.00e-02,
9.76000e-04,-9.20e-01,4.00e-02,
9.76100e-04,-1.06e+00,2.00e-02,
9.76200e-04,-1.06e+00,4.00e-02,
9.76300e-04,-1.18e+00,2.00e-02,
9.76400e-04,-1.18e+00,4.00e-02,
9.76500e-04,-1.28e+00,2.00e-02,
9.76600e-04,-1.30e+00,4.00e-02,
9.76700e-04,-1.40e+00,2.00e-02,
9.76800e-04,-1.40e+00,2.00e-02,
9.76900e-04,-1.48e+00,4.00e-02,
9.77000e-04,-1.48e+00,2.00e-02,
9.77100e-04,-1.50e+00,2.00e-02,
9.77200e-04,-1.54e+00,2.00e-02,
9.77300e-04,-1.56e+00,2.00e-02,
9.77400e-04,-1.56e+00,2.00e-02,
9.77500e-04,-1.58e+00,0.00e+00,
9.77600e-04,-1.58e+00,2.00e-02,
9.77700e-04,-1.58e+00,0.00e+00,
9.77800e-04,-1.58e+00,0.00e+00,
9.77900e-04,-1.56e+00,2.00e-02,
9.78000e-04,-1.56e+00,0.00e+00,
9.78100e-04,-1.54e+00,2.00e-02,
9.78200e-04,-1.52e+00,0.00e+00,
9.78300e-04,-1.46e+00,0.00e+00,
9.78400e-04,-1.44e+00,0.00e+00,
9.78500e-04,-1.40e+00,0.00e+00,
9.78600e-04,-1.38e+00,0.00e+00,
9.78700e-04,-1.28e+00,0.00e+00,
9.78800e-04,-1.28e+00,0.00e+00,
9.78900e-04,-1.18e+00,0.00e+00,
9.79000e-04,-1.16e+00,0.00e+00,
9.79100e-04,-1.06e+00,0.00e+00,
9.79200e-04,-1.02e+00,0.00e+00,
9.79300e-04,-9.00e-01,0.00e+00,
9.79400e-04,-8.80e-01,0.00e+00,
9.79500e-04,-7.40e-01,-2.00e-02,
9.79600e-04,-7.20e-01,0.00e+00,
9.79700e-04,-5.80e-01,0.00e+00,
9.79800e-04,-5.60e-01,0.00e+00,
9.79900e-04,-4.00e-01,0.00e+00,
9.80000e-04,-3.80e-01,0.00e+00,
9.80100e-04,-2.40e-01,-2.00e-02,
9.80200e-04,-2.20e-01,0.00e+00,
9.80300e-04,-2.00e-02,-2.00e-02,
9.80400e-04,0.00e+00,0.00e+00,
9.80500e-04,1.60e-01,0.00e+00,
9.80600e-04,1.80e-01,0.00e+00,
9.80700e-04,3.20e-01,0.00e+00,
9.80800e-04,3.60e-01,0.00e+00,
9.80900e-04,4.80e-01,0.00e+00,
9.81000e-04,5.20e-01,0.00e+00,
9.81100e-04,6.80e-01,0.00e+00,
9.81200e-04,6.80e-01,0.00e+00,
9.81300e-04,8.40e-01,0.00e+00,
9.81400e-04,8.60e-01,0.00e+00,
9.81500e-04,9.80e-01,0.00e+00,
9.81600e-04,1.00e+00,0.00e+00,
9.81700e-04,1.10e+00,0.00e+00,
9.81800e-04,1.12e+00,0.00e+00,
9.81900e-04,1.22e+00,0.00e+00,
9.82000e-04,1.22e+00,0.00e+00,
9.82100e-04,1.30e+00,0.00e+00,
9.82200e-04,1.32e+00,0.00e+00,
9.82300e-04,1.40e+00,0.00e+00,
9.82400e-04,1.40e+00,0.00e+00,
